Bedriftsnavn; Adresse; Postnummer; Poststed; Godkjenningstyper; Organisasjonsnummer; Godkjenningsnummer
Felleskjøpet AGRI SA avd. Sarpsborg; Alvimveien 45; 1722; SARPSBORG; TRAKTOR; 911608103; 18779
J. Mæhlum Rep Verksted; Øyer; 2636; ØYER; BILVERKSTED01; 959426392; 2628
EID SERVICESENTER AS; Sjøgata 111; 6770; NORDFJORDEID; BILVERKSTED01, TRAKTOR, KONTROLLORGAN01; 970995935; 7108
BILPLEIESPESIALISTEN SORTLAND AS; HAVNEGATA 44; 8400; SORTLAND; BILGLASS; 996295524; 29556
HAJDAREVIC AUTO-SHINE VORMSTAD BILPLEIE; ORKDALSVEIEN 1505; 7327; SVORKMO; HJUL; 919619570; 31065
VITO SETERMOEN AS; Fogd Holmboes gate 54; 9360; BARDU; LYSUTSTYR, HJUL, HENGERESPALOPSBREMSEANLEGG, EKSOSANLEGG, BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 989877690; 29451
Bilplaneten AS avd. Ål;  Sundrevegen 170; 3570; ÅL; BILVERKSTED01, KONTROLLORGAN01; 943839689; 3559
GLASS-SERVICE AS; RÅHOLTVEGEN 98A; 2070; RÅHOLT; BILGLASS; 992411309; 29355
VARTDAL AUTO; Sætre; 6170; Vartdal; BILVERKSTED01; 856908712; 7538
BLJ Motorsenter AS; Frostvedtveien 103; 3269; LARVIK; MOTORSYKKELOGMOPED; 911695057; 24900
TTS BIL OG DEKKSENTER AS; Industrivn.11; 8900; Brønnøysund; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 971507195; 8849
NAF Senter Steinkjer ; Sjøfartsgata 8A; 7714; STEINKJER; KONTROLLORGAN01, BILVERKSTED01; 987372540; 8660
STEINSPRUTEN BILGLASS AS avd Åssiden; Ingvald Ludvigsen gt 27; 3027; DRAMMEN; BILGLASS; 997719670; 29994
MITT DEKKHOTELL FORNEBU AS; TORNSANGERVEIEN 25; 1360; FORNEBU; HJUL; 923039767; 31495
Auto E-14 AS; Moksnes; 7513; STJØRDAL; BILVERKSTED01, KONTROLLORGAN01; 883342402; 8506
Toyota Østfold & Follo AS, avd. Follo; Indistriveien 1a; 1400; SKI; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 983650791; 770
CARGLASS AS avd. Orkdal; Grønøra Industriområde; 7300; ORKANGER; BILGLASS; 985758220; 30312
DRAMMEN GUMMISERVICE A/S; TORDENSKIOLDS GATE 74; 3003; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01; 978633919; 3652
DRAMMEN BILSKADE A/S; AABYSGT. 6; 3041; DRAMMEN; BILSKADE, BILVERKSTED01; 915602487; 3721
Klepp Auto Bilverksted AS; Kjøpmannsbrotet 9; 4352; Kleppe; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 966128186; 6114
REILSTAD LANDBRUK AS; STEINNESVÅG 48; 4160; FINNØY; TRAKTOR; 992809345; 29982
DEKK1 AS avd. Askøy; Juvikflaten 4A; 5308; KLEPPESTØ; HJUL, HENGERESPALOPSBREMSEANLEGG; 979579292; 29898
Nord Salten Auto AS; Ulvsvåg; 8276; Ulvsvåg; BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B; 887018952; 9112
Torsbudalen Bilelektro AS; Molandsveien 60; 4846; Arendal; BILVERKSTED01, KONTROLLORGAN01; 988320285; 5310
Andebu Bensin & Service Avd. Verksted; Andebuv. 802   Gravdal; 3158; Andebu; BILVERKSTED01B, KONTROLLORGAN01B; 982767253; 4726
Star Auto AS; Industriveien 31; 1337; Sandvika; BILVERKSTED01, KONTROLLORGAN01; 982718171; 935
Phoenix US Cars AS ; Broen 7,   Ås Industriområde ; 3170; SEM; BILVERKSTED01, KONTROLLORGAN01B; 986041397; 15138
VARDEBERG DIESEL OG ELEKTRO SERVICE; Rosenborggutua 18; 2390; MOELV; BILELEKTRODRIVSTOFFANLEGG, BILDIESEL; 879875242; 11330
NESTTUN  AUTO AS; Nesttunvegen 87; 5221; NESTTUN; BILVERKSTED01B, KONTROLLORGAN01B; 979743041; 6695
US Car Service AS; Bruseveien 8; 1911; Flateby; BILVERKSTEDALLE, KONTROLLORGAN02, KONTROLLORGAN01B; 976613953; 1016
HØNEFOSS BIL AS; DRONNING ÅSTASGT. 18; 3511; HØNEFOSS; BILVERKSTED01, KONTROLLORGAN01; 978704182; 3346
Felleskjøpet Agri SA, Barkåker; Wirgensvei 6; 3157; BARKÅKER; TRAKTOR; 911608103; 19339
UTSTYRSPARTNER AS; URA 1; 4056; TANANGER; HJUL, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG; 918481885; 30431
Håland Auto DA; Hatlestrandsvegen 526; 5635; HATLESTRAND; BILVERKSTED01, KONTROLLORGAN01; 971225947; 6776
AUTOSPORT VERKSTED AS; TUNGASLETTA 10; 7047; TRONDHEIM; MOTORSYKKELOGMOPED, BILVERKSTED01; 819933472; 30611
GLASS TECH TROMSØ AS; HEILOVEGEN 10; 9015; TROMSØ; BILGLASS; 997091892; 29508
Ski Bil og Lakk A/S; Teglvegen 16; 1400; SKI; BILSKADE; 981412435; 821
STOP & GO SERVICE AS; Industriveien 27 D; 2020; SKEDSMOKORSET; BILVERKSTED01; 818843682; 30427
TEAM VERKSTED MØRE AS; VÅGAVEIEN 25; 6008; ÅLESUND; FARTSSKRIVER, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, ALKOLASVERKSTED; 935862957; 23301
Ferda Norge AS avd Bjerkvik; Nordmoveien 165; 8530; BJERKVIK; HENGERESPALOPSBREMSEANLEGG; 919639466; 31083
DEKKMESTERN AS avd. Drammen; Vintergata 19; 3048; DRAMMEN; HJUL; 999325882; 28317
Drammen Antirust og Bilglass AS; Svend Haugs Gate 9; 3013; DRAMMEN; BILGLASS; 914886988; 29466
Skotvedt Asker og Bærum AS; Baker Østbyesvei 15; 1351; RUD; BILVERKSTED01, KONTROLLORGAN01; 919534281; 922
FORLAND Autosenter A/S; Skogevegen 2; 5382; SKOGSVÅG; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 942776624; 6620
OFF THE GRID AS; FABRIKKVEIEN 34; 3360; GEITHUS; MOTORSYKKELOGMOPED; 916728468; 30731
INVEST-SERVICE KRYSTIAN S KLINKOSZ; Samuel J. Sandvedsv. 16; 4319; SANDNES; HJUL; 915757685; 30392
FURUSET BILVASK MHABAD AHMED MOHAMED MOHAMED; GAMLE LEIRDALS VEI 3; 1081; OSLO; HJUL; 920205755; 31311
Servicehallen Dombås; Essostasjonen Dombås; 2660; Dombås; BILVERKSTED01; 988226610; 2809
Autoskade AS; Stolinna 131; 2712; BRANDBU; BILSKADE; 948941864; 3020
Vestnes Bilskade; Furland; 6390; Vestnes; BILVERKSTED01, BILSKADE; 991207503; 7725
Vianor AS, avd Sandefjord; Nygårdsveien 85; 3221; SANDEFJORD; BILVERKSTED01, KONTROLLORGAN01; 935429447; 20543
Haug Karrosseri; Solbråveien 2; 1383; Asker; BILSKADE; 986336923; 963
VIGELAND TRAFIKKSENTER AS; Livold; 4520; LINDESNES; HJUL; 976329783; 31369
Åmli Bilverksted AS; Engenes 16; 4865; Åmli; BILVERKSTED01B, KONTROLLORGAN01B; 988271160; 5302
Auto-Fixit Røisgård; Kirkeveien 278; 3140; NØTTERØY; BILSKADE; 998090105; 22720
VIANOR OSLO SKØYEN; Drammensveien 130; 0277; OSLO; HJUL; 935429447; 30661
Øyans Bil Sandefjord AS; Bekkeveien 4; 3236; SANDEFJORD; BILVERKSTED01, KONTROLLORGAN01; 971174722; 4727
MIDTUN DEKK AS; SANDBREKKEVEGEN 100; 5225; NESTTUN; HJUL; 916657315; 29988
STRAUME BENSIN AUTOSENTER AS; Sartorvegen 10; 5353; STRAUME; BILVERKSTED01B, KONTROLLORGAN01B; 963166834; 6646
BIL og MASKIN; Feltvegen 603; 2265; Namnå; BILVERKSTED01; 855077132; 2490
S Holand Bilverksted AS; Kampen 19; 9440; EVENSKJER; BILVERKSTED01B, KONTROLLORGAN01B; 928260127; 9431
BIL & DEKK SERVICE AS; TUNELLVEIEN 4 A; 9912; HESSENG; HJUL; 983167640; 30209
NORDVIK AS avd. Halsa; Hambogveien 2; 8178; HALSA; KONTROLLORGAN01, BILVERKSTED01; 946549770; 31038
TESLA MOTORS NORWAY AS avd. Oslo K100; Karihaugveien 100; 1086; OSLO; BILVERKSTED01; 997433173; 30870
Røhneselmer AS; Stanseveien 10; 0975; OSLO; BILVERKSTED01B, KONTROLLORGAN01B; 933823970; 13980
KS Bil og Karosseri AS; Strandgata 51; 8400; SORTLAND; BILSKADE; 998941881; 9342
Grødums Auto A/S; Dalanev. 14; 4618; KR.SAND; BILVERKSTED01, KONTROLLORGAN01; 957936105; 5749
TANABRU SERVICE AS; RÅDHUSVEIEN 1; 9845; TANA; HJUL, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG; 984043317; 29548
MOTORSENTERET A/S; Veddevegen 165; 6030; Langevåg; BILVERKSTED01B, KONTROLLORGAN01B; 976604628; 7422
2 HJUL SERVICE AS; Øyna 58; 6200; STRANDA; MOTORSYKKELOGMOPED; 923703330; 31396
ØYGARDEN DEKKSENTER AS; BLEIVASSVEGEN 105; 5347; ÅGOTNES; HJUL; 922323380; 31114
MAGNE STØLEN TUNING; Steinavegen 14; 6800; FØRDE; BILVERKSTED01; 957635121; 30601
Sulland Harstad AS; Samagata 33; 9403; HARSTAD; BILSKADE, KONTROLLORGAN01, BILVERKSTED01B; 943604770; 9402
Motor Forum AS; Svanholmen 23; 4313; SANDNES; BILSKADE, BILVERKSTED01, KONTROLLORGAN01; 944019502; 5915
WIST LAST OG BUSS AS; Ørbradden 16; 8663; Mosjøen; FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04; 958315120; 8838
Lier VVA-kf; Vestsideveien 20; 3404; LIER; BILVERKSTED01B; 922847754; 3778
NAF Senter Alta; MARKVEIEN 53; 9510; ALTA; KONTROLLORGAN01; 987372540; 9647
Bilmekaniker'n Fron AS; Transportvegen 8; 2640; VINSTRA; BILVERKSTED01, KONTROLLORGAN01; 983047963; 2849
PONY PERFORMANCE AS; Fjeldstadveien 50; 1407; VINTERBRO; BILVERKSTED01; 886226772; 31136
Toyota Asker og Bærum AS; Drammensveien 277; 3420; LIERSKOGEN; BILSKADE; 950272899; 961
NØSEN & CO AS;  Orkdalsvegen 604; 7320; Fannrem; BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B; 993757446; 8312
Dekk & Bilservice AS; Fyrgata 3; 7714; STEINKJER; BILVERKSTED01, HJULUTRUSTNING, KONTROLLORGAN01; 911670992; 24020
Ullensaker Biloppretting AS; Dyrskuvn. 30; 2040; KLØFTA; BILSKADE; 987748931; 1108
E.O DEKKSERVICE DA; EIDEMSVEIEN 18; 7170; ÅFJORD; HJUL; 920018920; 30842
Toyota Østfold & Follo AS avd. Moss; Kvaenveien 1; 1529; Moss; BILVERKSTED01, KONTROLLORGAN01; 983650791; 502
Toyota Bilia Trondheim; Leangen Allé 4; 7044; Trondheim; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 980648915; 8140
Fuglestad Bil A/S; Bjerkreimsvegen 633; 4389; Vikeså; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04; 934608976; 6216
MULTI BILPLEIE V/KJETIL JOHNSEN; Storveien 69; 9310; SØRREISA; HJUL; 981607821; 31201
Møller Bergen AS; Sanddalsvegen 1; 5221; NESTTUN; BILVERKSTED01B, KONTROLLORGAN01B; 834083922; 6600
DIGNITA SYSTEMS NORGE AS; LEIRVIKFLATEN 15B; 5179; GODVIK; ALKOLASVERKSTED; 919664010; 31140
HORNE BIL; HORNEVEIEN ; 3300; HOKKSUND; BILSKADE; 971030453; 3976
BIRGER N HAUG AS AVD VERKSTED VØYENENGA; Ringeriksveien 197; 1339; VØYENENGA; KONTROLLORGAN01, BILVERKSTED01, BILSKADE; 924990864; 31532
Dalsfjord Bil og Motor AS; Kapstad; 6977; BYGSTAD; BILVERKSTED01; 912091554; 27381
Hemnes Bilverksted Berger; Sykehjemsvegen 14; 1970; HEMNES; BILVERKSTED01; 997431650; 20940
MJØSBIL AS avd. Hunndalen; Mattisrudsvingen 9; 2827; HUNNDALEN; HJUL; 950223243; 31340
SMØLA BILSERVICE A/S; Østsideveien 2233; 6570; Smøla; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01B; 958717768; 7800
Vianor AS avd. Moss; Årvollskogen 90; 1529; MOSS; HJUL; 935429447; 19420
SAGMOS ELEKTRO ; Gullvikvegen 15; 7802; NAMSOS; BILVERKSTED01B; 970234012; 8733
Team Verksted Trøndelag AS avd. Tr.heim; Sorgenfriveien 7; 7037; TRONDHEIM; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04; 930462640; 8032
BILTEKNO AS; TVETENVEIEN 4; 0661; OSLO; ALKOLASVERKSTED; 995562170; 31044
AGDER SKADE & LAKK AS; STOREMYRLIA 23; 4790; LILLESAND; BILSKADE; 924560134; 31444
Toyota Bilia Levanger ; HØGSKOLEVEGEN 1; 7604; LEVANGER; BILVERKSTED01, KONTROLLORGAN01; 980648915; 29387
Rødsten S. Bilforretning AS; Solheimsvegen 1; 5462; HERØYSUNDET; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 938461619; 6790
T.N.VANGS MEK. VERKSTED AS; Utøyvegen 410; 7670; Inderøy; PABYGGER; 886998422; 8612
Auto 1 Skien AS, avd Myren ; Sliperivegen 19; 3718; SKIEN; BILVERKSTED01, KONTROLLORGAN01; 996340465; 22181
Solberg Mek Verksted AS; Solberg; 5282; LONEVÅG; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, BILBREMSE, HJULUTRUSTNING, PABYGGER, TRAKTOR, KONTROLLORGAN04; 957838499; 6639
Fix Bil Olsvik AS; Halheimslia 21; 5184; OLSVIK; BILVERKSTED01, KONTROLLORGAN01; 993456284; 14319
FALCK REDNING AS; Østre Akersvei 60, Bygg B; 0581; OSLO; HJUL; 886768052; 30639
Craftworks Sandefjord AS; Hegdalveien 84; 3261; LARVIK; BILSKADE; 920859593; 31167
DEKKMESTEREN AS avd. Høvik; Ramstadsletta 24; 1363; HØVIK; HJUL; 999325882; 30773
SIVERT JAN OMMEDAL; OMMEDAL; 6829; HYEN; HJUL; 979347650; 30586
MOBILE ASKER AS; Stasjonsveien 40; 1396; BILLINGSTAD; BILVERKSTED01, KONTROLLORGAN01; 954117774; 949
A B BIL ARNE MONSEN; Heldalshaugen 12; 5226; NESTTUN; BILVERKSTED01; 970371591; 6522
AUTO R-65 RINDAL AS; Elverhøy; 6657; Rindal; BILVERKSTED01, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN01; 975865096; 7824
MKM Bilservice AS; Moan; 7606; LEVANGER; BILVERKSTED01, KONTROLLORGAN01; 997710436; 20464
Bulk Bilskadeservice AS; Gladengveien  8; 0553; Oslo; BILSKADE; 880252372; 1597
Mobakk Bil & Service AS; Vålerstuen 2; 2436; Våler i Solør; BILVERKSTED01B, KONTROLLORGAN01; 985701598; 2431
ILADEKK SENTER DA; Caspar Storms vei 19; 0664; OSLO; HJUL; 916339453; 30867
VIANOR AS Jessheim; Brannmannsvegen 4; 2069; JESSHEIM; HJUL; 935429447; 30660
Forsvarets Verksted Bjerkvik avd. Osmarka; Lensmannsparten 61; 8534; Liland; BILVERKSTEDALLE; 986105174; 9302
Tide Verksted AS avd. Kvinnherad; Onarheimsvegen 8; 5460; HUSNES; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01B, KONTROLLORGAN02; 985538220; 6777
Bilsenteret Ålgård AS; Industriveien 10; 4330; ÅLGÅRD; BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B; 883156412; 6233
Bergersen Bil og Karosseri AS; Østlifaret 9; 1476; RASTA; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 912437019; 12412
Nye Vøling Auto AS; Åse; 8484; Risøyhamn; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 987345284; 9341
HANSENS BILVEKSTED avd Mosjøen; Brugata 10; 8656; MOSJØEN; BILVERKSTED01, KONTROLLORGAN01; 980799530; 8847
NST Gardermoen MC AS; Nannestadveien 456; 2032; MAURA; MOTORSYKKELOGMOPED; 966937157; 25221
Frode Utsi AS; Grenveien 18; 9845; TANA; MOTORSYKKELOGMOPED, HJUL, HENGERESPALOPSBREMSEANLEGG; 975988910; 17739
Bodø kommune, Byteknikk, avd. Verkstedet.; Speiderveien 3; 8001; Bodø; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03; 972418013; 9094
GJERSTAD BILVERKSTED AS; LANGVEI 58; 4980; GJERSTAD; BILVERKSTED01, KONTROLLORGAN01; 917646341; 30300
RANHEIM BILSERVICE AS; VIKELVFARET 4 F; 7054; RANHEIM; BILVERKSTED01, KONTROLLORGAN01; 921332386; 31053
Trucknor Førde AS; Øyrane 10; 6800; FØRDE; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04; 997741668; 21199
Spesial Lakkering AS; Vorsetøyveien 25; 8300; SVOLVÆR; BILSKADE; 958243391; 9293
SVELGEN MOTORSENTER AS; GUNNAR G SCHJELDERUPS VEG 111; 6723; SVELGEN; BILVERKSTED01, KONTROLLORGAN01; 955454243; 7138
AUTOSALG A/S; Hermann Dahls gate 1; 9800; VADSØ; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 940283280; 9718
RENE & BJARTE SCOOTER AS; PARADISLEITET 2; 5231; PARADIS; MOTORSYKKELOGMOPED; 985439850; 31324
Sigvartsen AS; Solørvegen 89; 2260; KIRKENÆR; BILVERKSTED01, KONTROLLORGAN01; 964690774; 15979
Hamar  MC - Service  &  Byggmontasje Per Evensen; Høyvangvn. 11; 2322; Ridabu; MOTORSYKKELOGMOPED; 986338020; 2004
ARCTIC TOURS AS; STORENGVEIEN 17; 9515; ALTA; BILGLASS; 923193294; 30744
Mobile Jarlsberg AS; Travveien 4; 3170; Tønsberg; BILVERKSTED01, KONTROLLORGAN01; 861635392; 4313
LUND OLJESENTER AS; TORDENSKIOLDS GATE 77; 3044; DRAMMEN; HJUL; 993100137; 30776
RYDS BILGLASS AS avd. Ski; Nordbyveien 70; 1406; SKI; BILGLASS; 913387783; 30437
Tønsberg Vulk AS; Korniveien 4; 3157; BARKÅKER; HJUL; 874273422; 4390
Rygge Bilverksted AS; Kvaenveien 2; 1529; Rygge; BILVERKSTED01, KONTROLLORGAN01; 884410762; 508
Omniservice AS avd. Mandal; Sommerkroveien 18; 4515; MANDAL; BILVERKSTED02, BILVERKSTED03; 919424001; 24300
MØLLER BIL STORHAMAR AS; Aslak Bolts gate 41; 2316; HAMAR; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 979450796; 2020
RASMUSSEN DEKKSENTER AS; Rosslandvegen 388; 5919; FREKHAUG; BILVERKSTED01; 917200904; 31518
Tide Verksted AS avd. Lonevåg; Straumsfjellveien 2; 5282; LONEVÅG; BILVERKSTED03, KONTROLLORGAN04, BILVERKSTED01, BILVERKSTED02; 985538220; 29488
FITJAR SMÅBÅT- OG FRITIDSSERVICE AS; Vardavegen 9; 5419; FITJAR; LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG; 991791906; 30993
TOM'S GLASS AS; ØYVIND LAMBES VEI 12; 8803; SANDNESSJØEN; BILGLASS; 980270408; 29590
RS Motor & Marine; Fiskerstrandvegen 125; 6030; LANGEVÅG; MOTORSYKKELOGMOPED; 990003475; 12433
HUNSFOS AUTOVERKSTED AS; OPPLØSERBYGGET, HUNSFOS NÆRINGSPARK; 4700; VENNESLA; BILVERKSTED01, KONTROLLORGAN01; 922337268; 29968
Bil-Doktoren ; Lyshaugveien 132; 1825; TOMTER; BILVERKSTED01; 970357017; 24780
Sundmoen Autoverksted A/S; Industrivegen 20; 2270; Flisa; BILVERKSTED01, KONTROLLORGAN01; 984772165; 2435
OPSAL AUTOHUS AS; Vike Øyrane; 6150; Ørsta; BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B; 824234272; 7519
Hadeland Bil AS; Roalinna 14; 2713; ROA; BILVERKSTED01, KONTROLLORGAN01; 844596502; 3007
PARKEN KAROSSERI AS; SKIBÅSEN 15B; 4636; KRISTIANSAND S; BILVERKSTED01; 922347557; 31186
Team Verksted Sør AS, avd. Kristiansand; Rigedalen 44; 4626; KRISTIANSAND S; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 989040138; 23882
Bilform AS; Bråteveien 175; 2013; SKJETTEN; PABYGGER, ALKOLASVERKSTED; 992042036; 12373
Finnås Auto AS; Kanalveien 1; 5437; FINNÅS; BILVERKSTED01, KONTROLLORGAN01; 978653367; 6753
HK AUTO AS; ØKERNVEIEN 147; 0580; OSLO; HJUL; 922808899; 31230
TIP TRAILER SERVICES NORWAY ANS; Robotveien 3; 4340; BRYNE; BILVERKSTED02, KONTROLLORGAN02, BILVERKSTED03, KONTROLLORGAN03; 979349149; 30005
KONGSBERG GLASSERVICE BENT HOGSTAD; BANEVEIEN 32; 3612; KONGSBERG; BILGLASS; 971218959; 29494
Mobile Bø AS; Gvarvvegen 83; 3800; BØ I TELEMARK; BILVERKSTED01, KONTROLLORGAN01; 950160675; 5125
Bekkestua Bilskade AS; Furuveien 4; 1356; Bekkestua; BILSKADE; 989831313; 962
JENSEN OG SCHEELE Bil AS; Vestgårdsveien 1-3; 1788; HALDEN; BILVERKSTED01, KONTROLLORGAN01; 960968727; 443
Bergseng Mekaniske Bilverksted; Landåsvegen 701; 2861; Landåsbygda; BILVERKSTED01, KONTROLLORGAN01; 959093776; 2948
BJØRN MYHRENS VERKSTED AS; Barmanfjord; 7250; MELANDSJØ; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 951050504; 8319
Bilverkstedet i Nittedal AS avd. Skytta ; Industriveien 3; 1481; HAGAN; BILVERKSTED01, KONTROLLORGAN01; 998744091; 23820
BILGLASSPARKEN AS; Strømsveien 322; 1081; OSLO; BILGLASS; 997008901; 29258
GREIPSTAD BILOPPRETTING; SONGDALSVN 325; 4645; NODELAND; BILSKADE, BILVERKSTED01; 974442027; 5708
SM SERVICE 2 STIG MORTENSEN; BRUVEGEN 3; 9020; TROMSDALEN; HJUL; 921754779; 31092
BERGEN LAKK OG VERKSTED AS; SANDVIKSVEIEN 163A; 5035; BERGEN; BILVERKSTED01, KONTROLLORGAN01; 922727171; 31246
AUTO BILVERKSTED DEKK & GLASS Ahmet Yasar; Teglverksveien 99; 3057; SOLBERGELVA; BILVERKSTED01, KONTROLLORGAN01; 996667022; 18441
DEKK OG SERVICE AVD. BRYNE; BEDRIFTSVEGEN 5; 4344; BRYNE; HJUL; 991742689; 31557
BILGLASSMONTØREN AS; Tordenskjoldsgate 48; 8656; MOSJØEN; BILGLASS; 997106490; 29640
SULLAND FREDRIKSTAD BMW; Smørbøttaveien 11; 1617; FREDRIKSTAD; BILVERKSTED01B, KONTROLLORGAN01; 945727772; 30705
Leere's Motorsport A/S; Mossev. 47; 1610; Fredrikstad; MOTORSYKKELOGMOPED; 829275252; 346
ASBJØRN GOBERG AS; Porsgrunnsveien 125; 3735; SKIEN; BILVERKSTED01B, KONTROLLORGAN01B; 912022544; 4842
RYGGE VAREBILINNREDNING AS; IDRETTSVEIEN 5; 1640; RÅDE; PABYGGER, ALKOLASVERKSTED; 920513379; 29468
Møller Bil Kalbakken ; Kakkelovnskroken 2; 0954; OSLO; BILVERKSTED01, KONTROLLORGAN01; 917805717; 1522
Møller Bil Oppland AS avd. Lillehammer; Industrigata 52 A; 2605; LILLEHAMMER; BILVERKSTED01B, KONTROLLORGAN01B; 919781491; 2602
BILREPARATØREN ANDERSEN AS; Johan Sverdrups vei 1; 5063; BERGEN; BILSKADE, BILVERKSTED01; 980393763; 30275
Ingus Biloppretting & Lakk AS; Ryensvingen 2-4; 0608; OSLO; BILSKADE; 889948272; 16058
Autoservice Gjøvik AS; Mattisrudsvingen 5; 2827; HUNNDALEN; BILVERKSTED01, KONTROLLORGAN01; 912879038; 26081
SVEBERG BIL OG OPPRETTING; Stavsjøveien 28; 7550; HOMMELVIK; BILVERKSTED01B, BILSKADE; 971177489; 8009
T1MOTOR AS; Tomtegata 7B; 2500; TYNSET; BILVERKSTED01; 819850712; 30629
HURTIGRUTA CARGLASS AS LANGHUS; Håndverksveien 17; 1405; LANGHUS; BILGLASS; 985758220; 30770
Bugge Bil AS; Strandveien ; 7160; Bjugn; BILVERKSTED01; 984360339; 8430
RYDS BILGLASS KRISTIANSAND; INDUSTRIGATA 12; 4632; KRISTIANSAND S; BILGLASS; 913387783; 30428
NORDVIK AS, avd. Namsos; Industrivegen 8; 7820; SPILLUM; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 946549770; 13436
BILSERVICE FROSTA AS; Frostavegen 1757 Mebygda; 7633; FROSTA; BILSKADE; 913433548; 31005
LINDBERG MOTOR AS; ST. HALVARDS GATE 71; 0657; OSLO; BILVERKSTED01; 919277912; 30519
Nes Bilelektro AS; Runnivegen 45 F; 2150; ÅRNES; BILVERKSTED01B, KONTROLLORGAN01B; 974484722; 1216
FELLESKJØPET AGRI SA - Halden; Busterudkleiva 54; 1782; HALDEN; HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR; 911608103; 29911
TVEIT BILVERKSTAD; Tveitvegen 171; 3855; Treungen; BILVERKSTED01; 953124882; 5133
Nidarvoll Bil AS; Magnus Lagabøters veg 4; 7047; TRONDHEIM; BILVERKSTED01; 971221836; 15918
DEKKSERVICE BREIM AS; Fjellvegen 5; 6826; BYRKJELO; HJUL; 818614802; 30626
AJ Bil og Motor AS; Holmenveien 2; 9700; LAKSELV; BILVERKSTED01, KONTROLLORGAN01; 919666536; 20679
DEKKMANN AS avdeling Kokstad; Kokstaddalen 26; 5257; KOKSTAD; HJUL; 966242825; 30166
Vesterålen Bil AS; Vesterålsgata 41; 8400; SORTLAND; BILVERKSTED01B, KONTROLLORGAN01B, ALKOLASVERKSTED; 976550285; 9374
RS DEKK AS; MONGSTADVEGEN 1006; 5954; MONGSTAD; HJUL; 996199061; 29486
Biltech AS; Haraldvollveien 1; 9325; BARDUFOSS; BILVERKSTED01, MOTORSYKKELOGMOPED, HJULUTRUSTNING, KONTROLLORGAN01; 987817879; 17620
Bergen Caravan A.S; Hylkjeflaten 1; 5109; Hylkje; BILVERKSTED01B, KONTROLLORGAN01B; 938248281; 6749
HOVRUD AUTO AS; OSLOVEGEN 406; 2920; LEIRA I VALDRES; KONTROLLORGAN01, BILVERKSTED01; 915255604; 29979
Zigo MC  AS; Klubbholmen 3; 9409; HARSTAD; MOTORSYKKELOGMOPED; 939603808; 9415
AS AUTO ELEKTRO AS; Næringsveien 3; 6517; Kristiansund N.; BILVERKSTED01B, KONTROLLORGAN01B; 918542272; 7858
RAULAND SERVICENTER AS; Rjukanvegen 1; 3864; RAULAND; LYSUTSTYR, HJUL; 984086121; 29341
Dokka Bilco AS; Jevnakervegen 21; 2870; DOKKA; KONTROLLORGAN01, BILVERKSTED01, MOTORSYKKELOGMOPED; 864301002; 2961
Fylkesnes Bil AS; Heiane 31; 5412; STORD; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 935018293; 6772
